province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v,time
吉林,通化市,45.466859799999995,55.206857633333335,20.4832145,19.08071795,0.57216773,38.04139733333333,270.82677033333334,75.16677256666667,95682.72336666666,3.0800811733333333,1.3855744226666669,2013-11-01
吉林,长春市,58.00371393333333,84.9613776,23.946690866666664,27.822371649999997,0.900351386,37.32821066666667,270.7669156666667,68.1682454,99263.66286666667,4.3451032592,0.3156376273333334,2013-11-01
四川,乐山市,59.84404833333333,86.10486226666667,22.403683033333333,17.7208477,0.8576787993333334,45.3529089,282.508277,76.45378276666666,89690.26683333333,-0.39596665214000004,-1.2140015263333335,2013-11-01
四川,内江市,46.68505686666666,84.94994846666667,20.4235706,24.046439666666668,0.9976137086666667,37.633124466666665,286.52355933333337,69.28964930000001,97286.00463333333,-0.6902534743333334,-2.264164963866667,2013-11-01
四川,凉山彝族自治州,25.5713184,31.302682133333334,11.157573813333332,4.7493928,0.407675618,60.355566466666666,279.10664833333334,61.9805808,74271.39616666666,2.662568517,2.060794361,2013-11-01
四川,南充市,48.90339373333333,87.34399383333333,22.583876233333335,25.2987581,0.7739653203333333,52.69120673333334,285.80951566666664,65.52490943333333,97326.44676666666,-2.055885143333333,-2.1005939091,2013-11-01
四川,宜宾市,69.71847346666667,97.72108056666667,29.051205366666668,21.484025433333333,1.1676228123333334,33.35479256666667,285.973086,75.19201410000001,95665.6184,0.5132182604666666,-1.6842648916666667,2013-11-01
四川,巴中市,49.566736666666664,64.49870776666667,21.79920931666667,10.504310016666667,0.46960337533333335,55.392782000000004,283.0762393333333,61.35569376666667,92983.6465,-2.8779139386666666,-1.8841510747999999,2013-11-01
四川,广元市,40.02902843333333,55.3072357,18.007294039999998,9.687229746666667,0.5080853106666666,52.51099083333334,282.55612833333333,59.71456743333333,92100.05,-1.6224233526666665,-2.3440646016666666,2013-11-01
四川,广安市,46.118459300000005,87.470555,26.4088342,29.457306000000003,0.8999878330000001,41.34224523333333,286.543745,69.2138615,97296.2768,-1.3113010073333333,-1.1578100638666666,2013-11-01
四川,德阳市,55.379632,84.81704763333333,19.751219933333335,33.3329161,0.886478189,38.25884223333333,283.44418333333334,62.128087566666665,92407.01853333334,-1.4725204436666668,-1.3089067640333334,2013-11-01
四川,成都市,62.1308842,96.15602556666666,21.788775866666665,40.544669500000005,0.9067439553333333,37.08642283333334,284.79316166666666,62.040703533333335,94229.29086666666,-1.2457347186666667,-1.3025850972333333,2013-11-01
四川,攀枝花市,33.86287436666667,47.899499399999996,24.340139299999997,13.99262611,0.8476619623333334,48.85583126666666,285.062433,59.3483678,81746.3233,0.9617262166666667,2.036964740866667,2013-11-01
四川,泸州市,72.10192053333334,93.41724113333333,32.0448406,22.906767333333335,0.9800603803333333,27.06604666666667,285.599679,77.6332274,94042.6892,0.25910702653333334,-0.4045616746666667,2013-11-01
四川,甘孜藏族自治州,2.7224572843333332,3.036782097,0.758982235,0.8888548669999999,0.1219505615,75.99937556666667,267.88508766666666,52.873683,61259.6255,5.15556456,0.434945904,2013-11-01
四川,眉山市,57.26053686666667,90.96894193333334,19.318350233333334,28.39965146666667,0.9029365640000001,40.9887596,285.2137973333334,67.34510893333334,94870.2145,-0.7596002308,-1.2722708184,2013-11-01
四川,绵阳市,39.831093333333335,59.680337300000005,15.023209333333334,16.162244866666665,0.6364656123333333,48.655803766666665,281.1421726666667,62.8379238,88582.24386666667,-1.1148546250666667,-1.4099293660666667,2013-11-01
四川,自贡市,52.80243243333334,90.93973493333333,23.73707865,24.319954933333335,1.110329353,36.4889114,286.70341533333334,69.26244866666666,97213.57056666668,-0.5710509657,-2.161286396,2013-11-01
